meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,6.799336676387744,6.608444040377305,6.502226151528192,6.4432493533015665,6.410628944884409,6.392713092916631,6.3830010951920215,6.377866129401346,6.3752847464393385,6.374128038978178,6.373766175631697,6.373847765665487,6.3741767638348374,6.374643794068583,6.375187834101371,6.375774838855251,6.376385814159393,6.377010162930539,6.377641972924632,6.378277945627458,6.378916240757065,6.37955583159735,6.380196145330676,6.380836862374988,156.7195205479452,158.4730410958904,160.22656164383562,161.98008219178084,163.73360273972605,165.48712328767127,167.24064383561648,168.9941643835617,170.7476849315069,172.50120547945212,5673.692191780826,7358.825438356176,8725.915273972605,10674.732794520529,11934.857876712293
X7,1.308540730971258,1.3187260922226627,1.327310673897161,1.3345460620888137,1.3406443024304977,1.3457841144599125,1.3501161293064154,1.3537673041982057,1.3568446431646688,1.3594383329755308,1.3616243862209754,1.36346686899278,1.3650197784525433,1.3663286253124032,1.3674317676055965,1.368361534835326,1.36914517544707,1.3698056553916613,1.3703623311824125,1.3708315171713983,1.3712269636699135,1.3715602599252554,1.3718411737637697,1.372077937853987,50.64773433833348,45.43924854712482,42.85598373502507,41.623313180195375,41.08548121696874,40.9051220223268,40.90867140994249,41.00683602310927,41.15367721676071,41.3255609918136,1340.062516761187,1507.807242943658,1640.7215839833004,1883.017363981024,2003.8281527541646
X10,2.2455854507960815,2.3979608398252115,2.5221929638832394,2.6234797973168114,2.7060592646227737,2.7733865586980584,2.828278708955034,2.8730324481512817,2.9095203095789954,2.939268975399519,2.9635231542818423,2.9832976610380375,2.9994198773104586,3.012564369900813,3.023281115200492,3.032018510655565,3.03914213608507,3.0449500498416153,3.049685259818231,3.0535458910986755,3.056693475674048,3.0592597110742807,3.061351970701214,3.0630577964201233,95.4077166769492,87.83760262506404,86.00474337584014,85.74012593006289,85.90417732307189,86.18540259382252,86.49865659253919,86.82066543862368,87.14506736608546,87.47012342699328,2787.02975496144,3084.692492863686,3282.8377266976445,3699.838808978113,3878.1406132599927
X16,3.314387437881128,3.4234432375707553,3.5105853298759087,3.580217062190299,3.6358569718693574,3.680316580243254,3.7158424606438865,3.744229759236941,3.7669129049415266,3.785038092069454,3.799521198279717,3.8110940644806157,3.820341475233497,3.827730708302299,3.8336351465071297,3.838353145004411,3.842123107369693,3.845135532287555,3.847542639575767,3.8494660619530703,3.8510029912206725,3.852231089428059,3.853212413187569,3.8539965494359474,121.96587223142738,117.67538523986455,115.88909572138168,115.31890894407451,115.33929295561018,115.64647334119009,116.09292942702277,116.60702137730996,117.15395904405888,117.71684743604187,3774.680337584177,4311.687453490361,4701.422839709881,5404.5864152468575,5759.066996251779
X18,2.4954884887846984,2.500710161214606,2.504910012906375,2.5082856586136364,2.5109964954365775,2.5131710939150036,2.5149131597228984,2.516306342402627,2.51741811411525,2.518302898260937,2.519004593040658,2.51955860697432,2.51999350076041,2.520332311608623,2.5205936214535276,2.5207924185813297,2.520940792622557,2.5210484951368115,2.521123391783384,2.5211718270444505,2.5211989184127197,2.5212087936847407,2.5212047823629318,2.5211895700414644,65.58461643835618,66.29423287671234,67.0038493150685,67.71346575342467,68.42308219178084,69.132698630137,69.84231506849316,70.55193150684933,71.26154794520549,71.97116438356166,2363.094753424658,3045.036150684932,3596.1082191780824,4386.920835616439,4894.7063013698635
X20,0.6252153950028239,0.8177733760261422,0.9351244287116643,1.0067355464593282,1.0505281946276661,1.0774019894835267,1.0939859444690496,1.1043117445665516,1.1108314113232074,1.1150362342852438,1.1178331975341216,1.1197739177066666,1.1211938813017517,1.122297127109022,1.123207749027397,1.124001219450022,1.124723439764287,1.12540232663318,1.1260548586300456,1.1266913619157475,1.127318116735158,1.127938942656477,1.1285561626944156,1.1291711896781391,15.559758563660267,60.67493649051513,21.44172649840616,57.38094180509675,26.325473932630526,54.97657474456287,30.416373182967504,53.27880471981139,33.877543588459986,52.14225756742887,1440.091935696182,1948.2252574958063,2356.2805246410126,2921.8014771752964,3298.8101707489745
X26,1.088036916004584,1.1863269060160018,1.2595181872295311,1.3140198068253377,1.3546042383220351,1.3848252866528055,1.4073292796503438,1.4240867956468233,1.436565218582832,1.4458572305375046,1.4527764932206622,1.4579288968456339,1.461765615341557,1.4646226137229754,1.4667500671079714,1.4683342674823108,1.469513936491163,1.4703923726997306,1.4710464970064068,1.4715335882765654,1.471896299007604,1.4721663902255555,1.472367512662175,1.4725172777482762,33.6535956300401,33.617454774381805,33.58131391872351,33.545173063065214,33.50903220740692,33.47289135174862,33.436750496090326,33.40060964043203,33.364468784773734,33.32832792911544,1026.4559666501355,991.7246043625132,926.6646051654141,923.3822463126758,860.5268393107327
X30,4.7979990007536735,4.527981215776871,4.306683998388068,4.125316469474244,3.976673929218015,3.8548516553735994,3.75501034225394,3.6731838626547426,3.606121716190651,3.551159905412525,3.50611511034877,3.469197957627462,3.4389419388550513,3.4141451545833297,3.393822569683991,3.3771668835085134,3.363516460427489,3.352329046812234,3.343160230383915,3.3356457862427265,3.3294872082853098,3.324439851255974,3.3203032123828873,3.3169129665439505,126.58132824686284,118.86583878155334,117.61622467809525,118.03409782066339,118.8819999322502,119.84080239083272,120.82820498533594,121.82298328060874,122.81966369837471,123.81683465528971,4039.6461517673706,4982.270651360966,5734.119646315489,6868.2432843577135,7559.254452441375
X31,0.26691992546465826,0.3172447812385309,0.35674034192210097,0.3877369397209848,0.41206344777598886,0.4311551880369632,0.4461386186784822,0.45789779781670464,0.46712654504510226,0.474369378443976,0.48005364244488186,0.4845147221705344,0.4880158319563319,0.4907635456234339,0.4929199848265134,0.49461238461774887,0.49594060061812745,0.49698300073705787,0.49780108906579085,0.4984431347653787,0.49894702006221175,0.49934247538965576,0.49965283355447365,0.4998964064280311,11.200726036180711,11.317452072361421,11.434178108542131,11.55090414472284,11.66763018090355,11.78435621708426,11.90108225326497,12.01780828944568,12.13453432562639,12.2512603618071,401.50011394563217,513.6738347152946,603.9080341201524,734.4027691330202,817.5166803308547
X32,0.23150119943841685,0.33062523162524926,0.39282524186053297,0.4318555475080804,0.45634693831619355,0.4717152069926501,0.4813587459799712,0.48741003556618534,0.4912072002486082,0.4935899088299802,0.4950850507736584,0.49602324751715543,0.4966119629452993,0.4969813799761481,0.49721318797056646,0.49735864673881214,0.4974499216463607,0.49750719635622154,0.49754313605178246,0.49756568809473745,0.49757983942889605,0.4975887193454016,0.4975942914643454,0.4975977879509964,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,366.51006756756794,366.51006756756794,354.6871621621625,366.51006756756794,354.6871621621625
